"","origin","dest","dep_delay","arr_delay","visib","carrier"
"2648","MYR","LGA","<=15","<=15",10,"9E"
"2649","IND","JFK","<=15","<=15",10,"9E"
"2650","CHS","LGA","<=15","<=15",10,"9E"
"2651","SDF","LGA","<=15","<=15",10,"YX"
"2652","SFO","JFK","<=15","<=15",10,"AA"
"2653","JFK","RSW","15-30",">60",10,"B6"
"2654","PBI","JFK",">60",">60",10,"B6"
"2655","MCO","EWR","<=15","<=15",10,"B6"
"2656","EWR","PBI","45-60","45-60",10,"UA"
"2657","JFK","MCO",">60",">60",10,"B6"
"2658","SEA","JFK","<=15","15-30",10,"AS"
"2659","LGA","ATL","<=15","<=15",10,"DL"
"2660","LGA","MCO","45-60","30-45",10,"DL"
"2661","LGA","ORD","<=15","<=15",10,"AA"
"2662","JFK","SAT","<=15","<=15",6,"B6"
"2663","LGA","MSP","<=15","<=15",2,"DL"
"2664","SNA","JFK","<=15","<=15",10,"AA"
"2665","LGA","MDW","<=15","<=15",4,"WN"
"2666","EWR","PBI",">60",">60",10,"B6"
"2667","EWR","ATL","30-45","15-30",10,"DL"
"2668","ORD","EWR","45-60",">60",10,"UA"
"2669","MSP","EWR","<=15","30-45",10,"UA"
"2670","JFK","RSW","<=15","<=15",10,"DL"
"2671","FLL","LGA",">60",">60",10,"B6"
"2672","LGA","MSY","<=15","<=15",6,"WN"
"2673","BOS","EWR","30-45","30-45",10,"UA"
"2674","EWR","BNA",">60",">60",10,"UA"
"2675","PDX","JFK","<=15","<=15",10,"AS"
"2676","EWR","FLL",">60",">60",10,"UA"
"2677","MIA","JFK","45-60",">60",10,"AA"
"2678","JFK","FLL",">60",">60",10,"B6"
"2679","FLL","EWR","<=15","<=15",10,"B6"
"2680","ORD","LGA","<=15","<=15",10,"UA"
"2681","SFO","JFK",">60",">60",10,"B6"
"2682","LGA","IAH","<=15","<=15",2,"UA"
"2683","EWR","MCO",">60",">60",10,"B6"
"2684","JFK","BOS","<=15","<=15",10,"DL"
"2685","EWR","TPA",">60",">60",10,"UA"
"2686","EWR","IAH","<=15","<=15",2,"UA"
"2687","BNA","LGA","<=15","<=15",10,"WN"
"2688","PIT","EWR","<=15","<=15",10,"NK"
"2689","EWR","DEN","15-30","15-30",0.13,"UA"
"2690","LGA","ATL","<=15","<=15",10,"WN"
"2691","LGA","CLT","<=15","<=15",1,"AA"
"2692","EWR","RDU","30-45","15-30",0.75,"UA"
"2693","LGA","RDU","<=15","<=15",0.75,"AA"
"2694","EWR","IAD",">60","45-60",10,"UA"
"2695","EWR","MIA",">60",">60",10,"B6"
"2696","LGA","RSW",">60",">60",10,"B6"
"2697","SLC","JFK","45-60","45-60",10,"B6"
"2698","EWR","CLT","45-60","30-45",1,"UA"
"2699","EWR","LAX","<=15","<=15",10,"UA"
"2700","JFK","DFW","15-30","45-60",7,"AA"
"2701","LGA","CHS","<=15","<=15",0.5,"B6"
"2702","EWR","BOS","15-30","15-30",10,"B6"
"2703","JFK","FLL",">60",">60",10,"B6"
"2704","LGA","DFW","<=15","45-60",9,"AA"
"2705","ATL","LGA","15-30","<=15",10,"WN"
"2706","EWR","ORD","<=15","<=15",10,"MQ"
"2707","SLC","JFK","<=15","30-45",10,"DL"
"2708","EWR","MHT","<=15","<=15",10,"YX"
"2709","EWR","ILM","<=15","<=15",0.75,"YX"
"2710","EWR","CMH","<=15","<=15",9,"YX"
"2711","LGA","DCA","<=15","<=15",10,"YX"
"2712","LGA","IND","<=15","<=15",0.5,"YX"
"2713","MIA","EWR","15-30",">60",10,"UA"
"2714","JFK","ORF","<=15","<=15",10,"YX"
"2715","RDU","EWR","<=15","15-30",10,"UA"
"2716","JFK","CVG","<=15","<=15",9,"YX"
"2717","JAX","EWR","<=15","15-30",10,"UA"
"2718","SFO","EWR","<=15","<=15",10,"UA"
"2719","LGA","PIT","<=15","<=15",1,"YX"
"2720","LGA","MCI","45-60","45-60",0.25,"YX"
"2721","DFW","JFK","<=15","<=15",10,"AA"
"2722","CLT","LGA","<=15","<=15",10,"AA"
"2723","JFK","CLT","<=15","<=15",9,"9E"
"2724","STL","LGA","<=15","15-30",10,"AA"
"2725","LGA","CVG","<=15","<=15",10,"9E"
"2726","JFK","CLE","<=15","<=15",3,"9E"
"2727","JFK","BWI","<=15","<=15",10,"9E"
"2728","BNA","EWR","<=15","<=15",10,"UA"
"2729","FLL","EWR","<=15","15-30",10,"UA"
"2730","JFK","IAD","<=15","<=15",10,"YX"
"2731","DCA","LGA",">60",">60",10,"AA"
"2732","PBI","EWR",">60",">60",10,"UA"
"2733","PHX","JFK","<=15","<=15",10,"B6"
"2734","MEM","EWR","<=15","<=15",10,"UA"
"2735","MIA","LGA",">60",">60",10,"AA"
"2736","MIA","JFK","15-30","15-30",10,"B6"
"2737","MCO","EWR","<=15","<=15",10,"UA"
"2738","DFW","EWR","<=15","<=15",10,"UA"
"2739","IAH","EWR",">60",">60",10,"UA"
"2740","MCO","JFK","45-60","45-60",10,"B6"
"2741","BUF","JFK",">60",">60",10,"B6"
"2742","PHX","EWR","15-30","<=15",10,"AA"
"2743","ORD","LGA","<=15","<=15",10,"AA"
"2744","MCO","LGA","15-30","<=15",10,"DL"
"2745","MIA","LGA",">60",">60",10,"F9"
"2746","RDU","LGA","<=15","<=15",10,"AA"
"2747","MDW","LGA","<=15","<=15",10,"WN"
"2748","MCO","EWR","45-60",">60",10,"NK"
"2749","ORF","EWR","<=15","<=15",10,"YX"
"2750","GRR","EWR","<=15","<=15",10,"YX"
"2751","EYW","LGA","<=15","30-45",10,"YX"
"2752","DAY","LGA","<=15","<=15",10,"YX"
"2753","XNA","LGA","15-30","15-30",10,"YX"
"2754","AVL","LGA","<=15","<=15",10,"9E"
"2755","ORF","LGA","<=15","<=15",10,"YX"
"2756","DTW","LGA","<=15","<=15",10,"YX"
"2757","BNA","JFK","<=15","<=15",10,"9E"
"2758","CLE","LGA","<=15","<=15",10,"YX"
"2759","ILM","LGA","<=15","<=15",10,"9E"
"2760","MKE","LGA","<=15","<=15",10,"9E"
"2761","JAX","LGA","<=15","<=15",10,"YX"
"2762","MCI","LGA","<=15","<=15",10,"YX"
"2763","LGA","STL","<=15","<=15",1.5,"WN"
"2764","JFK","AUS","45-60","45-60",8,"B6"
"2765","JFK","MIA","45-60","30-45",10,"AA"
"2766","LGA","FLL",">60",">60",10,"B6"
"2767","EWR","BOS","<=15","<=15",10,"UA"
"2768","EWR","SRQ",">60",">60",10,"UA"
"2769","LGA","DCA",">60",">60",10,"AA"
"2770","EWR","PBI","45-60","45-60",10,"UA"
"2771","DEN","EWR","45-60",">60",10,"UA"
"2772","EWR","CLE","15-30","<=15",3,"UA"
"2773","JFK","MKE","30-45","15-30",10,"B6"
"2774","EWR","IAH","<=15","<=15",7,"UA"
"2775","SFO","JFK","<=15","<=15",10,"DL"
"2776","LGA","PBI",">60",">60",10,"B6"
"2777","ORD","LGA","<=15","<=15",10,"AA"
"2778","SEA","JFK","<=15","<=15",10,"DL"
"2779","JFK","MCO",">60",">60",10,"B6"
"2780","LGA","PBI","<=15","<=15",10,"DL"
"2781","EWR","MKE","<=15","<=15",10,"UA"
"2782","EWR","MCO",">60",">60",10,"UA"
"2783","EWR","ATL","<=15","<=15",10,"NK"
"2784","MCO","EWR","<=15","<=15",10,"B6"
"2785","ATL","LGA","15-30","<=15",10,"DL"
"2786","EWR","CLT",">60",">60",9,"AA"
"2787","LGA","DTW",">60",">60",4,"NK"
"2788","EWR","CHS","<=15","<=15",9,"UA"
"2789","LAX","JFK","<=15","<=15",10,"DL"
"2790","LGA","TPA",">60",">60",10,"DL"
"2791","LGA","MDW","45-60","15-30",8,"WN"
"2792","LGA","DCA","<=15","<=15",10,"AA"
"2793","LGA","FLL",">60",">60",10,"DL"
"2794","EWR","LAX",">60","45-60",10,"UA"
"2795","JFK","PHX","15-30","<=15",10,"AA"
"2796","LAS","JFK","<=15","<=15",10,"DL"
"2797","JFK","TPA",">60",">60",10,"DL"
"2798","LGA","DFW","45-60",">60",8,"AA"
"2799","JFK","JAX",">60",">60",10,"B6"
"2800","EWR","FLL",">60",">60",10,"NK"
"2801","EWR","SFO","<=15","<=15",7,"UA"
"2802","JFK","ATL","15-30","<=15",10,"B6"
"2803","JFK","MSY",">60",">60",9,"B6"
"2804","EWR","DEN","<=15","<=15",0.13,"UA"
"2805","EWR","PHX","<=15","<=15",10,"UA"
"2806","LGA","IAH","<=15","15-30",7,"UA"
"2807","EWR","FLL","45-60","30-45",10,"B6"
"2808","JFK","PBI",">60",">60",10,"B6"
"2809","JFK","SFO","<=15","<=15",7,"DL"
"2810","ATL","JFK","<=15","<=15",10,"DL"
"2811","LGA","MIA","<=15","30-45",10,"AA"
"2812","LGA","SRQ",">60",">60",10,"B6"
"2813","LGA","MIA","<=15","<=15",10,"DL"
"2814","PHX","JFK","<=15","<=15",10,"AA"
"2815","EWR","MCO",">60",">60",10,"B6"
"2816","JFK","MCO",">60","45-60",10,"DL"
"2817","JFK","FLL","15-30","<=15",10,"DL"
"2818","MSP","LGA","<=15","<=15",10,"DL"
"2819","LGA","MSY","<=15","<=15",9,"DL"
"2820","JFK","ATL","15-30","<=15",10,"DL"
"2821","MTJ","EWR","45-60","30-45",10,"UA"
"2822","LAX","EWR",">60",">60",10,"UA"
"2823","EWR","ROC","<=15","<=15",9,"YX"
"2824","EWR","SYR","<=15","<=15",10,"YX"
"2825","EWR","BUF","<=15","<=15",4,"YX"
"2826","PBI","EWR",">60",">60",10,"UA"
"2827","EWR","RIC","<=15","<=15",10,"YX"
"2828","EWR","PIT","<=15","<=15",1.5,"YX"
"2829","EWR","CVG","<=15","<=15",8,"YX"
"2830","EWR","IND","<=15","<=15",0.5,"YX"
"2831","EWR","MSP","<=15","15-30",3,"OO"
"2832","JFK","IND","<=15","<=15",2,"YX"
"2833","IAH","EWR","45-60",">60",10,"UA"
"2834","MSY","LGA","<=15","<=15",10,"DL"
"2835","JFK","DCA","<=15","<=15",10,"YX"
"2836","LGA","CHO","<=15","<=15",10,"YX"
"2837","FLL","JFK","<=15","45-60",10,"DL"
"2838","JFK","PIT","<=15","<=15",1.5,"YX"
"2839","JFK","SAV","<=15","<=15",10,"9E"
"2840","LGA","BUF","<=15","<=15",1.25,"9E"
"2841","PBI","LGA","45-60",">60",10,"DL"
"2842","JFK","RDU","<=15","<=15",7,"YX"
"2843","IAH","LGA","<=15","<=15",10,"DL"
"2844","LGA","SYR","<=15","<=15",10,"9E"
"2845","LGA","ALB","<=15","<=15",10,"9E"
"2846","JFK","PIT","<=15","<=15",1.5,"9E"
"2847","MIA","LGA","30-45","15-30",10,"DL"
"2848","LGA","ROC","<=15","<=15",9,"9E"
"2849","LGA","BGR","<=15","<=15",10,"9E"
"2850","LGA","PWM","<=15","<=15",10,"9E"
"2851","RSW","LGA","45-60","45-60",10,"DL"
"2852","JFK","CMH","<=15","<=15",10,"YX"
"2853","JFK","RIC","<=15","<=15",10,"YX"
"2854","SYR","JFK",">60",">60",10,"B6"
"2855","SFO","JFK","<=15","<=15",10,"B6"
"2856","MCO","EWR","<=15","45-60",10,"UA"
"2857","JFK","DCA","<=15","45-60",10,"YX"
"2858","CLE","EWR","15-30","<=15",10,"UA"
"2859","MCI","LGA","<=15","<=15",10,"WN"
"2860","PBI","LGA",">60",">60",10,"B6"
"2861","PBI","JFK",">60",">60",10,"DL"
"2862","LAX","JFK","<=15","<=15",10,"B6"
"2863","ORD","EWR","15-30","15-30",10,"UA"
"2864","PHX","EWR","<=15","<=15",10,"UA"
"2865","BOS","JFK","<=15","<=15",10,"B6"
"2866","STL","LGA","<=15","<=15",10,"WN"
"2867","TPA","EWR",">60",">60",10,"UA"
"2868","MIA","JFK","30-45",">60",10,"DL"
"2869","TPA","JFK","<=15","<=15",10,"DL"
"2870","FLL","LGA","<=15","<=15",10,"DL"
"2871","MCO","JFK",">60",">60",10,"DL"
"2872","DFW","LGA","15-30","30-45",10,"AA"
"2873","MIA","LGA","<=15","<=15",10,"AA"
"2874","DFW","LGA","<=15","<=15",10,"DL"
"2875","GSO","EWR","<=15","<=15",10,"YX"
"2876","PIT","EWR","<=15","<=15",10,"YX"
"2877","IND","EWR","<=15","<=15",10,"YX"
"2878","FLL","LGA","<=15","15-30",10,"NK"
"2879","STL","LGA","<=15","<=15",10,"YX"
"2880","MEM","LGA","<=15","<=15",10,"YX"
"2881","MSP","LGA",">60",">60",10,"YX"
"2882","IND","LGA","<=15","<=15",10,"YX"
"2883","BGR","JFK","<=15","<=15",10,"9E"
"2884","ORD","JFK","<=15","<=15",10,"9E"
"2885","BTV","JFK","<=15","<=15",10,"9E"
"2886","PIT","JFK","<=15","<=15",10,"9E"
"2887","BNA","LGA","<=15","<=15",10,"YX"
"2888","EWR","SEA","<=15","<=15",10,"AS"
"2889","EWR","LAX",">60",">60",10,"NK"
"2890","JFK","SAN","<=15","<=15",10,"B6"
"2891","OGG","EWR","<=15","<=15",10,"UA"
"2892","HNL","JFK","<=15","<=15",10,"HA"
"2893","EWR","SFO","<=15","<=15",7,"AS"
"2894","JFK","SEA","<=15","<=15",10,"AS"
"2895","JFK","LAX","<=15","<=15",10,"AA"
"2896","EWR","RDU",">60",">60",10,"UA"
"2897","JFK","CLT","<=15","<=15",10,"AA"
"2898","JFK","SAV",">60",">60",10,"B6"
"2899","LGA","BNA","<=15","<=15",10,"WN"
"2900","LGA","ORD","<=15","<=15",10,"AA"
"2901","JFK","SEA","<=15","<=15",10,"DL"
"2902","EWR","LAX","<=15","<=15",10,"UA"
"2903","LGA","ATL","15-30","<=15",10,"DL"
"2904","EWR","SFO","<=15","30-45",7,"UA"
"2905","PBI","LGA",">60",">60",10,"B6"
"2906","EWR","SAV",">60",">60",10,"UA"
"2907","JFK","SLC","<=15","<=15",10,"DL"
"2908","HNL","JFK","30-45",">60",10,"DL"
"2909","HNL","EWR","45-60","15-30",10,"UA"
"2910","JFK","PHX","<=15","<=15",10,"DL"
"2911","LGA","FLL",">60",">60",10,"NK"
"2912","DEN","LGA",">60",">60",10,"UA"
"2913","EWR","MCO",">60",">60",10,"UA"
"2914","EWR","TPA",">60",">60",10,"UA"
"2915","LGA","RDU",">60",">60",10,"AA"
"2916","TPA","EWR","<=15","15-30",10,"UA"
"2917","EWR","ATL","<=15","15-30",10,"UA"
"2918","EWR","BNA","<=15","<=15",10,"UA"
"2919","CLT","EWR","<=15","<=15",10,"AA"
"2920","ATL","LGA","30-45","15-30",10,"DL"
"2921","LGA","MIA","<=15","15-30",10,"AA"
"2922","EWR","MCO",">60",">60",10,"NK"
"2923","EWR","ATL","<=15","<=15",10,"DL"
"2924","EWR","FLL",">60",">60",10,"UA"
"2925","LGA","DFW",">60",">60",10,"AA"
"2926","JFK","FLL",">60",">60",10,"B6"
"2927","EWR","MIA",">60",">60",10,"UA"
"2928","LGA","PBI","45-60","30-45",10,"B6"
"2929","JFK","DFW","15-30",">60",8,"DL"
"2930","EWR","DFW","15-30","45-60",8,"UA"
"2931","LGA","DEN","15-30","15-30",0.13,"DL"
"2932","LGA","BNA","<=15","<=15",10,"B6"
"2933","EWR","DTW","<=15","<=15",4,"DL"
"2934","JFK","MIA","<=15","<=15",10,"DL"
"2935","LGA","DAL","15-30","45-60",10,"WN"
"2936","EWR","MSY","<=15","<=15",9,"UA"
"2937","EWR","LAS","<=15","<=15",10,"UA"
"2938","LGA","DEN","<=15","<=15",0.13,"UA"
"2939","JFK","CHS",">60","30-45",10,"B6"
"2940","MCO","LGA",">60",">60",10,"DL"
"2941","BOS","LGA","15-30","<=15",10,"B6"
"2942","LGA","IAH","<=15","<=15",7,"DL"
"2943","JFK","TPA",">60",">60",10,"B6"
"2944","DEN","JFK","<=15","15-30",10,"DL"
"2945","LGA","MCI","<=15","<=15",0.25,"WN"
"2946","MIA","JFK",">60",">60",10,"AA"
"2947","EWR","DTW","<=15","<=15",4,"YX"
"2948","EWR","SDF","<=15","<=15",10,"YX"
"2949","EWR","CMH","<=15","<=15",10,"YX"
"2950","LGA","MIA",">60",">60",10,"NK"
"2951","LGA","RIC","<=15","<=15",10,"YX"
"2952","LGA","DTW","<=15","<=15",4,"YX"
"2953","LGA","CHS","<=15","<=15",10,"9E"
"2954","ATL","EWR","<=15","<=15",10,"DL"
"2955","JFK","MKE","<=15","<=15",6,"9E"
"2956","LGA","GSO","<=15","<=15",10,"YX"
"2957","LGA","ILM","<=15","<=15",8,"YX"
"2958","JFK","DTW","<=15","<=15",5,"9E"
"2959","IAH","LGA","<=15","<=15",10,"UA"
"2960","LGA","ORD","<=15","<=15",10,"OO"
"2961","CLT","LGA","<=15","<=15",10,"AA"
"2962","LAS","EWR","<=15","<=15",10,"UA"
"2963","LGA","JAX","45-60",">60",10,"YX"
"2964","LGA","CMH","<=15","<=15",10,"YX"
"2965","MSY","LGA",">60",">60",10,"B6"
"2966","RDU","LGA","<=15","<=15",10,"AA"
"2967","DFW","LGA","<=15","<=15",10,"AA"
"2968","IAH","EWR","30-45",">60",10,"UA"
"2969","FLL","EWR","45-60",">60",10,"UA"
"2970","SRQ","EWR","<=15","15-30",10,"UA"
"2971","MSY","EWR","<=15","45-60",10,"UA"
"2972","DEN","LGA",">60",">60",10,"WN"
"2973","SRQ","LGA","15-30","30-45",10,"DL"
"2974","TPA","LGA","<=15","<=15",10,"DL"
"2975","MCO","JFK",">60",">60",10,"B6"
"2976","MIA","JFK","<=15","<=15",10,"B6"
"2977","MIA","LGA","15-30","<=15",10,"AA"
"2978","MIA","LGA","<=15","15-30",10,"NK"
"2979","DTW","EWR","<=15","<=15",10,"YX"
"2980","MHT","EWR","<=15","<=15",10,"YX"
"2981","CMH","EWR","30-45","15-30",10,"YX"
"2982","MCI","LGA","<=15","<=15",10,"YX"
"2983","CMH","LGA","<=15","<=15",10,"YX"
"2984","DCA","LGA","<=15","<=15",10,"YX"
"2985","CVG","JFK","<=15","30-45",10,"9E"
"2986","PIT","LGA","<=15","<=15",10,"YX"
"2987","STL","LGA","<=15","<=15",10,"9E"
"2988","RDU","JFK","<=15","<=15",10,"9E"
"2989","CLE","JFK","<=15","<=15",10,"9E"
"2990","DTW","JFK","<=15","15-30",10,"9E"
"2991","CHS","LGA","<=15","<=15",10,"YX"
"2992","RIC","JFK","<=15","30-45",10,"YX"
"2993","LGA","TPA",">60",">60",10,"B6"
"2994","JFK","PHX","<=15","<=15",10,"B6"
"2995","JFK","TPA",">60",">60",10,"B6"
"2996","JFK","MIA","<=15","<=15",10,"AA"
"2997","JFK","SEA",">60",">60",10,"B6"
"2998","JFK","LAS","15-30","<=15",10,"DL"
"2999","JFK","SAN","<=15","<=15",10,"DL"
"3000","SRQ","JFK",">60",">60",10,"B6"
"3001","LGA","ATL","30-45","<=15",10,"DL"
"3002","LGA","DFW","<=15","30-45",10,"DL"
"3003","LGA","FLL",">60",">60",10,"B6"
"3004","LGA","MCO","<=15","45-60",10,"DL"
"3005","JFK","ORD","<=15","<=15",8,"AA"
"3006","JFK","LAX","<=15","<=15",10,"B6"
"3007","CLT","EWR",">60",">60",10,"UA"
"3008","EWR","CLE","<=15","<=15",5,"UA"
"3009","EWR","SAN",">60",">60",10,"AS"
"3010","SLC","JFK","15-30","<=15",10,"DL"
"3011","BNA","EWR",">60",">60",10,"UA"
"3012","LGA","DEN","<=15","<=15",0.24,"WN"
"3013","MIA","JFK","30-45","15-30",10,"AA"
"3014","JFK","LAX","<=15","<=15",10,"DL"
"3015","EWR","TPA",">60",">60",10,"UA"
"3016","JFK","BOS","15-30","<=15",10,"B6"
"3017","LGA","DTW","45-60","30-45",5,"DL"
"3018","LGA","STL",">60",">60",4,"AA"
"3019","JFK","RDU",">60",">60",10,"B6"
"3020","JFK","ROC",">60",">60",10,"B6"
"3021","FLL","JFK",">60",">60",10,"B6"
"3022","EWR","SEA",">60","45-60",10,"UA"
"3023","EWR","IAH",">60",">60",7,"UA"
"3024","JFK","MSY","30-45","<=15",10,"DL"
"3025","ORD","EWR","<=15","<=15",10,"UA"
"3026","BOS","JFK","<=15","<=15",10,"DL"
"3027","EWR","FLL",">60",">60",10,"UA"
"3028","ORD","LGA","<=15","<=15",10,"AA"
"3029","EWR","PBI",">60",">60",10,"UA"
"3030","LGA","MDW","15-30","<=15",10,"WN"
"3031","EWR","PHX","<=15","<=15",10,"UA"
"3032","LGA","DFW",">60",">60",10,"AA"
"3033","EWR","MCO",">60",">60",10,"UA"
"3034","LGA","CLT","<=15","<=15",10,"AA"
"3035","LGA","TPA",">60",">60",10,"WN"
"3036","LGA","ORD","45-60","15-30",8,"AA"
"3037","JFK","PSP","45-60","30-45",10,"B6"
"3038","ORD","LGA","<=15","<=15",10,"DL"
"3039","EWR","PBI",">60",">60",10,"B6"
"3040","EWR","IAD","15-30","<=15",10,"UA"
"3041","LGA","HOU",">60",">60",8,"WN"
"3042","JFK","PBI",">60",">60",10,"B6"
"3043","EWR","ORD","<=15","<=15",10,"UA"
"3044","EWR","SAN","<=15","<=15",10,"UA"
"3045","LGA","MIA",">60","45-60",10,"AA"
"3046","EWR","ORD","<=15","<=15",10,"AA"
"3047","EWR","LAS","30-45","15-30",10,"UA"
"3048","EWR","OAK","45-60","30-45",10,"NK"
"3049","LGA","ORD","<=15","<=15",10,"DL"
"3050","JFK","SFO","<=15","<=15",10,"AA"
"3051","EWR","DEN","<=15","45-60",0.13,"UA"
"3052","JFK","AUS","<=15","<=15",9,"AA"
"3053","AUS","JFK","<=15","<=15",10,"DL"
"3054","EWR","PHX","<=15","<=15",10,"AA"
"3055","LGA","MIA",">60",">60",10,"F9"
"3056","DEN","LGA","45-60",">60",10,"UA"
"3057","DTW","LGA","<=15","<=15",10,"DL"
"3058","EWR","PIT","<=15","<=15",3,"YX"
"3059","EWR","MCO",">60",">60",10,"NK"
"3060","DCA","LGA","<=15","<=15",10,"AA"
"3061","MCO","JFK",">60",">60",10,"B6"
"3062","JFK","BOS","<=15","<=15",10,"YX"
"3063","LGA","SDF","<=15","<=15",10,"YX"
"3064","LGA","ATL","<=15","<=15",10,"YX"
"3065","LGA","OKC","<=15","<=15",7,"YX"
"3066","LGA","MCI","<=15","<=15",0.25,"YX"
"3067","LGA","RDU","<=15","<=15",10,"9E"
"3068","DTW","EWR","15-30","<=15",10,"DL"
"3069","LGA","CMH","<=15","<=15",10,"YX"
"3070","LGA","IND","<=15","<=15",6,"YX"
"3071","LGA","STL","<=15","<=15",4,"9E"
"3072","MKE","EWR","<=15","45-60",10,"UA"
"3073","JFK","MCI","<=15","<=15",0.25,"9E"
"3074","PBI","JFK",">60",">60",10,"B6"
"3075","LGA","MKE","<=15","<=15",6,"9E"
"3076","LGA","BNA","<=15","<=15",10,"9E"
"3077","LGA","PIT","<=15","<=15",2,"YX"
"3078","LGA","CLT","<=15","<=15",10,"YX"
"3079","ATL","EWR","<=15","15-30",10,"UA"
"3080","LGA","DCA","<=15","<=15",10,"YX"
"3081","IAH","JFK",">60",">60",10,"B6"
"3082","LGA","IND","<=15","<=15",4,"YX"
"3083","LGA","MCI","<=15","<=15",0.25,"YX"
"3084","IAD","EWR","30-45","15-30",10,"UA"
"3085","MCO","EWR",">60",">60",10,"B6"
"3086","DFW","EWR","15-30",">60",10,"AA"
"3087","MCO","EWR",">60",">60",10,"UA"
"3088","RDU","EWR","<=15","<=15",10,"UA"
"3089","DFW","JFK","45-60","45-60",10,"AA"
"3090","AUS","EWR",">60",">60",10,"NK"
"3091","PHX","EWR",">60","45-60",10,"AA"
"3092","DEN","EWR","15-30","45-60",10,"UA"
"3093","DAL","LGA",">60",">60",10,"WN"
"3094","CHS","LGA","<=15","<=15",10,"B6"
"3095","DEN","LGA","<=15","15-30",10,"DL"
"3096","DFW","LGA","<=15","<=15",10,"AA"
"3097","MDW","LGA","<=15","<=15",10,"WN"
"3098","BUF","EWR","<=15","<=15",10,"YX"
"3099","EYW","EWR",">60",">60",10,"YX"
"3100","SYR","EWR","<=15","<=15",10,"YX"
"3101","ILM","EWR","15-30",">60",10,"YX"
"3102","ROC","EWR","<=15","<=15",10,"YX"
"3103","ATL","LGA","<=15","<=15",10,"YX"
"3104","CHO","LGA","<=15","<=15",10,"YX"
"3105","CMH","LGA","<=15","<=15",10,"YX"
"3106","RDU","LGA","<=15","<=15",10,"9E"
"3107","CHS","JFK","<=15","<=15",10,"9E"
"3108","IAH","LGA","<=15","<=15",10,"YX"
"3109","JAX","JFK","<=15","<=15",10,"9E"
"3110","DCA","JFK","<=15","<=15",10,"YX"
"3111","PIT","LGA","<=15","<=15",10,"9E"
"3112","CLT","JFK","<=15","<=15",10,"9E"
"3113","CVG","LGA","<=15","<=15",10,"9E"
"3114","CLE","LGA","<=15","<=15",10,"9E"
"3115","BWI","JFK","<=15","<=15",10,"9E"
"3116","DCA","JFK","<=15","15-30",10,"YX"
"3117","DCA","LGA","<=15","<=15",10,"YX"
"3118","IND","LGA","<=15","<=15",10,"YX"
"3119","CMH","LGA","<=15","<=15",10,"YX"
"3120","JFK","SMF",">60","45-60",10,"B6"
"3121","JFK","MCO",">60",">60",10,"B6"
"3122","JFK","SLC",">60",">60",9,"DL"
"3123","JFK","ONT",">60","45-60",10,"B6"
"3124","JFK","SEA","15-30","<=15",10,"DL"
"3125","JFK","SAN","15-30","<=15",10,"AS"
"3126","JFK","MIA","30-45","45-60",10,"AA"
"3127","LGA","ATL","15-30","30-45",10,"DL"
"3128","EWR","LAX",">60",">60",10,"UA"
"3129","EWR","CLE",">60",">60",4,"UA"
"3130","EWR","PBI",">60",">60",10,"UA"
"3131","JFK","AUS","<=15","<=15",10,"DL"
"3132","EWR","AUS",">60",">60",10,"UA"
"3133","LGA","MSP","<=15","<=15",5,"DL"
"3134","EWR","SEA","<=15","<=15",10,"AS"
"3135","EWR","IND",">60",">60",6,"NK"
"3136","MIA","EWR","30-45","15-30",10,"AA"
"3137","JFK","LAX",">60",">60",10,"B6"
"3138","JFK","BZN","<=15","<=15",10,"B6"
"3139","EWR","SLC","<=15","<=15",9,"DL"
"3140","EWR","IAH","45-60","45-60",9,"UA"
"3141","EWR","IND","30-45","30-45",6,"UA"
"3142","CHS","EWR","<=15","15-30",10,"UA"
"3143","LGA","DFW","<=15","45-60",10,"AA"
"3144","CLT","EWR","<=15","15-30",10,"AA"
"3145","EWR","MSN","<=15","<=15",10,"UA"
"3146","EWR","SFO",">60",">60",10,"UA"
"3147","LGA","BOS","<=15","<=15",10,"B6"
"3148","EWR","ORD",">60",">60",7,"UA"
"3149","LGA","DCA","15-30","15-30",10,"AA"
"3150","ORD","EWR","<=15","<=15",10,"AA"
"3151","EWR","PDX","<=15","<=15",10,"UA"
"3152","EWR","SNA","<=15","<=15",10,"UA"
"3153","EWR","MIA",">60",">60",10,"UA"
"3154","TPA","EWR",">60",">60",10,"UA"
"3155","EWR","BOS","<=15","<=15",10,"UA"
"3156","LGA","ATL","45-60","30-45",10,"WN"
"3157","CLT","JFK",">60",">60",10,"AA"
"3158","LGA","STL","<=15","<=15",9,"WN"
"3159","MKE","JFK","15-30","<=15",10,"B6"
"3160","IAH","EWR","<=15","30-45",10,"UA"
"3161","DFW","EWR","<=15","<=15",10,"AA"
"3162","EWR","MCO","<=15","<=15",10,"UA"
"3163","EWR","IAD","<=15","<=15",10,"UA"
"3164","LGA","CLT","<=15","<=15",10,"AA"
"3165","EWR","DEN",">60",">60",0.24,"UA"
"3166","EWR","RSW",">60","45-60",10,"UA"
"3167","LGA","ORD","<=15","<=15",8,"UA"
"3168","EWR","MCO","15-30","45-60",10,"B6"
"3169","EWR","DFW","<=15","15-30",10,"AA"
"3170","ATL","LGA","45-60","45-60",10,"DL"
"3171","BOS","EWR","15-30","30-45",10,"UA"
"3172","MCO","LGA",">60",">60",10,"B6"
